artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
282;Carne de cerdo, tocino papada;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;8000;8000;8000
175;Papa suprema;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;720;680;702
252;Carne de res, bola de brazo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;18000;16600;17533
253;Carne de res, bola de pierna;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;17000;17000
112;Guayaba pera;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2200;2000;2150
43;Habichuela;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4160;2400;3333
135;Mora de Castilla;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3800;3500;3633
249;Carne de res, cadera;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;18000;17000;17667
362;Harina de trigo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1888;1856;1875
363;Harina precocida de maíz;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3344;3072;3192
345;Panela redonda morena;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3021;2896;2958
5200;Papa Betina;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;640;560;593
157;Papa capira;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;840;720;783
251;Carne de res, costilla;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11000;10600;10867
258;Carne de res, falda;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
242;Huevo blanco A;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;343;343;343
340;Aceite vegetal mezcla;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6233;5204;5758
88;Aguacate común;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2800;2900
365;Jugo instantáneo (sobre);2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;25000;23889;24630
90;Aguacate papelillo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4000;3600;3833
57;Ahuyama;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1200;1000;1167
