Fecha;Grupo;Producto;Mercado;Precio  por kilogramo
feb-20;CARNES;Carne de res, falda;Buenaventura (Valle del Cauca); 14,000 
feb-20;CARNES;Carne de res, lomo fino;Buenaventura (Valle del Cauca); 22,000 
feb-20;CARNES;Carne de res, morrillo;Buenaventura (Valle del Cauca); 13,000 
feb-20;CARNES;Carne de res, muchacho;Buenaventura (Valle del Cauca); 16,800 
feb-20;CARNES;Carne de res, pecho;Buenaventura (Valle del Cauca); 14,000 
feb-20;CARNES;Carne de res, punta de anca;Buenaventura (Valle del Cauca); 17,667 
feb-20;CARNES;Carne de res, sobrebarriga;Buenaventura (Valle del Cauca); 13,917 
feb-20;CARNES;Pechuga de pollo;Buenaventura (Valle del Cauca); 8,067 
feb-20;CARNES;Pierna pernil con rabadilla;Buenaventura (Valle del Cauca); 4,892 
feb-13;PESCADOS;Corvina, filete congelado nacional;Buenaventura (Valle del Cauca);16,000
feb-20;PESCADOS;Pargo rojo platero;Buenaventura (Valle del Cauca); 22,667 
feb-20;PESCADOS;Sierra entera congelada;Buenaventura (Valle del Cauca); 12,333 
feb-20;PROCESADOS;Aceite vegetal mezcla;Buenaventura (Valle del Cauca); 5,706 
feb-20;PROCESADOS;Azúcar sulfitada;Buenaventura (Valle del Cauca); 2,298 
feb-20;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca); 90,758 
feb-20;PROCESADOS;Chocolate amargo;Buenaventura (Valle del Cauca); 22,603 
feb-20;PROCESADOS;Galletas saladas;Buenaventura (Valle del Cauca); 10,222 
feb-20;PROCESADOS;Gelatina;Buenaventura (Valle del Cauca); 22,381 
feb-20;PROCESADOS;Harina de trigo;Buenaventura (Valle del Cauca); 1,886 
feb-20;PROCESADOS;Harina precocida de maíz;Buenaventura (Valle del Cauca); 3,187 
feb-20;PROCESADOS;Jugo instantáneo (sobre);Buenaventura (Valle del Cauca); 24,745 
feb-20;PROCESADOS;Lomitos de atún en lata;Buenaventura (Valle del Cauca); 29,366 
feb-20;PROCESADOS;Manteca;Buenaventura (Valle del Cauca); 4,759 
feb-20;PROCESADOS;Margarina;Buenaventura (Valle del Cauca); 18,057 
feb-20;PROCESADOS;Mayonesa doy pack;Buenaventura (Valle del Cauca); 16,820 
feb-20;PROCESADOS;Panela redonda morena;Buenaventura (Valle del Cauca); 2,964 
feb-20;PROCESADOS;Pastas alimenticias;Buenaventura (Valle del Cauca); 4,780 
feb-20;PROCESADOS;Sal yodada;Buenaventura (Valle del Cauca); 809 
feb-20;PROCESADOS;Salsa de tomate doy pack;Buenaventura (Valle del Cauca); 13,008 
feb-20;PROCESADOS;Sardinas en lata;Buenaventura (Valle del Cauca); 6,695 
mar-20;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca); 1,015 
mar-20;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca); 11,893 
mar-20;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Buenaventura (Valle del Cauca); 5,536 
mar-20;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Buenaventura (Valle del Cauca); 1,259 
mar-20;VERDURAS Y HORTALIZAS;Cebolla junca Aquitania;Buenaventura (Valle del Cauca); 3,059 
mar-20;VERDURAS Y HORTALIZAS;Chócolo mazorca;Buenaventura (Valle del Cauca); 1,296 
mar-20;VERDURAS Y HORTALIZAS;Cilantro;Buenaventura (Valle del Cauca); 3,102 
mar-20;VERDURAS Y HORTALIZAS;Fríjol verde en vaina;Buenaventura (Valle del Cauca); 3,080 
mar-20;VERDURAS Y HORTALIZAS;Habichuela;Buenaventura (Valle del Cauca); 3,719 
mar-20;VERDURAS Y HORTALIZAS;Lechuga Batavia;Buenaventura (Valle del Cauca); 2,278 
mar-20;VERDURAS Y HORTALIZAS;Pepino cohombro;Buenaventura (Valle del Cauca); 1,693 
mar-20;VERDURAS Y HORTALIZAS;Pimentón;Buenaventura (Valle del Cauca); 1,947 
mar-20;VERDURAS Y HORTALIZAS;Remolacha bogotana;Buenaventura (Valle del Cauca); 1,526 
mar-20;VERDURAS Y HORTALIZAS;Repollo blanco;Buenaventura (Valle del Cauca); 1,006 
mar-20;VERDURAS Y HORTALIZAS;Repollo morado;Buenaventura (Valle del Cauca); 803 
mar-20;VERDURAS Y HORTALIZAS;Tomate chonto regional;Buenaventura (Valle del Cauca); 2,915 
mar-20;VERDURAS Y HORTALIZAS;Zanahoria;Buenaventura (Valle del Cauca); 1,242 
mar-20;VERDURAS Y HORTALIZAS;Zanahoria bogotana;Buenaventura (Valle del Cauca); 1,478 
mar-20;FRUTAS;Aguacate común;Buenaventura (Valle del Cauca); 3,200 
mar-20;FRUTAS;Aguacate papelillo;Buenaventura (Valle del Cauca); 5,333 
mar-20;FRUTAS;Banano criollo;Buenaventura (Valle del Cauca); 1,317 
mar-20;FRUTAS;Curuba;Buenaventura (Valle del Cauca); 2,896 
mar-20;FRUTAS;Guayaba pera;Buenaventura (Valle del Cauca); 1,985 
mar-20;FRUTAS;Limón común valluno;Buenaventura (Valle del Cauca); 3,063 
mar-20;FRUTAS;Lulo;Buenaventura (Valle del Cauca); 3,219 
mar-20;FRUTAS;Mandarina Arrayana;Buenaventura (Valle del Cauca); 2,879 
mar-20;FRUTAS;Mango manzano;Buenaventura (Valle del Cauca); 3,200 
mar-20;FRUTAS;Manzana roja importada;Buenaventura (Valle del Cauca); 6,275 
mar-20;FRUTAS;Manzana verde importada;Buenaventura (Valle del Cauca); 6,793 
mar-20;FRUTAS;Maracuyá;Buenaventura (Valle del Cauca); 4,122 
mar-20;FRUTAS;Mora de Castilla;Buenaventura (Valle del Cauca); 3,822 
mar-20;FRUTAS;Naranja Valencia;Buenaventura (Valle del Cauca); 1,428 
mar-20;FRUTAS;Papaya Maradol;Buenaventura (Valle del Cauca); 2,656 
mar-20;FRUTAS;Pera importada;Buenaventura (Valle del Cauca); 6,634 
mar-20;FRUTAS;Piña gold;Buenaventura (Valle del Cauca); 2,193 
mar-20;FRUTAS;Tomate de árbol;Buenaventura (Valle del Cauca); 2,441 
